epoch   train_loss   train_image_loss   train_text_loss   val_loss   val_text_loss   mse       psnr      ssim      lpips     bleu      meteor    rougeL    attn_loss   copy_loss   grad_loss
1       17.24967     15.7004            2.548851          17.11421   2.523366       0.083718  10.77561  0.385414  0.850502  0.031487  0.268801  0.193372  0           0.05646     0.084076
2       17.20874     15.67967           2.480614          17.08294   2.461776       0.084607  10.72986  0.387954  0.853419  0.033586  0.270701  0.193571  0           0.056115    0.084047
3       17.1814      15.66988           2.45141           17.07814   2.441153       0.084562  10.73532  0.387756  0.853543  0.032123  0.270372  0.191539  0           0.055879    0.08401
4       17.16897     15.66962           2.431095          17.08286   2.42866        0.084664  10.7267   0.386352  0.852971  0.024676  0.25413   0.18549   0           0.05578     0.084051
5       17.15423     15.66373           2.416429          17.07222   2.418633       0.084387  10.74267  0.387082  0.853698  0.026521  0.257811  0.187069  0           0.055701    0.083982
6       17.1416      15.65895           2.403366          17.06453   2.407224       0.08448   10.73695  0.386823  0.854752  0.028326  0.262345  0.188655  1.69E-06    0.055581    0.083965
7       17.13924     15.66186           2.394553          17.05391   2.400376       0.0844    10.74194  0.387737  0.854285  0.031687  0.273452  0.197677  9.78E-09    0.055621    0.084001
8       17.13211     15.65864           2.388057          17.04288   2.392447       0.084596  10.73008  0.387637  0.851346  0.025093  0.26317   0.186871  2.61E-05    0.055486    0.083982
9       17.12742     15.66058           2.376977          17.03996   2.385844       0.08433   10.74363  0.387885  0.853465  0.034878  0.26588   0.195095  4.21E-05    0.055448    0.08404
10      17.11627     15.65185           2.373017          17.02353   2.378594       0.084581  10.73287  0.387985  0.85266   0.03961   0.273201  0.195724  0.000101    0.055377    0.083941
11      17.11668     15.65646           2.366003          17.0251    2.372557       0.084388  10.74207  0.387748  0.852531  0.028867  0.268539  0.191942  0.000231    0.0553      0.083967
12      10.29218     7.892721           2.376076          10.27185   2.372581       0.084807  10.72226  0.386414  0.849314  0.033492  0.269362  0.190286  0.000133    0.054016    0.083847
13      10.28745     7.896226           2.36778           10.25952   2.373397       0.084472  10.73906  0.387348  0.850267  0.02983   0.260706  0.192395  6.49E-05    0.054278    0.083908
14      10.27423     7.894033           2.356832          10.25265   2.364296       0.084592  10.73091  0.386866  0.849377  0.033405  0.270399  0.201124  5.14E-05    0.053924    0.083887
15      10.2605      7.887264           2.349943          10.25602   2.349985       0.084704  10.72608  0.386636  0.850334  0.031397  0.280008  0.197488  0.000116    0.053549    0.083853
16      10.2583      7.891781           2.343151          10.24772   2.350456       0.084469  10.73748  0.386963  0.852518  0.035135  0.26968   0.199569  0.003488    0.05386     0.083865
