epoch	train_loss	mse	psnr	ssim	lpips	encoder_lr	decoder_lr
1	2.147833	0.043934	13.5720	0.313931	0.762384	1.00E-05	0.0001
2	1.969731	0.028050	15.5207	0.377825	0.754764	1.00E-05	0.0001
3	1.797423	0.017839	17.4864	0.479610	0.614641	1.00E-05	0.0001
4	1.669163	0.013448	18.7134	0.559239	0.529776	1.00E-05	0.0001
5	1.562129	0.011893	19.2470	0.606524	0.470960	1.00E-05	0.0001
6	1.497915	0.011524	19.3839	0.621907	0.451291	1.00E-05	0.0001
7	1.433152	0.010447	19.8102	0.654337	0.417521	1.00E-05	0.0001
8	1.391474	0.009654	20.1531	0.676122	0.381890	1.00E-05	0.0001
9	1.344933	0.008722	20.5936	0.662721	0.371559	1.00E-05	0.0001
10	1.309963	0.008514	20.6988	0.694395	0.341415	1.00E-05	0.0001
11	1.281516	0.007234	21.4061	0.708730	0.330070	1.00E-05	0.0001
12	1.246697	0.006360	21.9653	0.719634	0.315411	1.00E-05	0.0001
13	1.220606	0.005780	22.3809	0.723751	0.307372	1.00E-05	0.0001
14	1.189422	0.006018	22.2056	0.733342	0.287923	1.00E-05	0.0001
15	1.177620	0.004737	23.2447	0.746998	0.264675	1.00E-05	0.0001
16	1.145599	0.004216	23.7512	0.756819	0.257191	1.00E-05	0.0001
17	1.123188	0.004245	23.7213	0.764402	0.240420	1.00E-05	0.0001
18	1.108113	0.004013	23.9650	0.768176	0.239873	1.00E-05	0.0001
19	1.095002	0.004183	23.7853	0.772916	0.236832	1.00E-05	0.0001
20	1.068673	0.003474	24.5913	0.774855	0.232233	1.00E-05	0.0001
21	1.064922	0.003412	24.6697	0.774791	0.227951	1.00E-05	0.0001
22	1.047375	0.003450	24.6214	0.781712	0.222086	1.00E-05	0.0001
23	1.034166	0.003036	25.1775	0.786279	0.219483	1.00E-05	0.0001
24	1.015105	0.002939	25.3174	0.794487	0.209629	1.00E-05	0.0001
25	1.009728	0.003204	24.9436	0.792558	0.209375	1.00E-05	0.0001
26	0.995938	0.002651	25.7661	0.792535	0.209426	1.00E-05	0.0001
27	0.984235	0.002571	25.8988	0.797495	0.197665	1.00E-05	0.0001
28	0.981165	0.003177	24.9801	0.794553	0.195915	1.00E-05	0.0001
29	0.973211	0.002975	25.2647	0.800230	0.194250	1.00E-05	0.0001
30	0.960030	0.002621	25.8155	0.791930	0.195379	1.00E-05	0.0001
31	0.946657	0.002334	26.3183	0.801946	0.189880	1.00E-05	0.0001
32	0.951354	0.002371	26.2507	0.808020	0.181817	1.00E-05	0.0001
33	0.935456	0.002355	26.2807	0.805041	0.185141	1.00E-05	0.0001
34	0.931136	0.002253	26.4731	0.809897	0.183873	1.00E-05	0.0001
35	0.922395	0.002057	26.8670	0.812141	0.176797	1.00E-05	0.0001
36	0.914059	0.002923	25.3422	0.807730	0.175153	1.00E-05	0.0001
37	0.909521	0.002048	26.8863	0.813185	0.177536	1.00E-05	0.0001
38	0.902251	0.002040	26.9032	0.816539	0.175135	1.00E-05	0.0001
39	0.894251	0.001996	26.9988	0.822865	0.170348	1.00E-05	0.0001
40	0.884160	0.002012	26.9644	0.822900	0.168452	1.00E-05	0.0001
41	0.882616	0.002252	26.4741	0.823725	0.171031	1.00E-05	0.0001
42	0.882361	0.001986	27.0195	0.816404	0.170387	1.00E-05	0.0001
43	0.872722	0.002412	26.1761	0.810797	0.171338	1.00E-05	0.0001
44	0.863264	0.002029	26.9272	0.827391	0.166267	1.00E-05	0.0001
45	0.861852	0.002542	25.9487	0.829383	0.161485	1.00E-05	0.0001
46	0.860635	0.001761	27.5414	0.830963	0.160094	1.00E-05	0.0001
47	0.851430	0.001907	27.1968	0.834624	0.160375	1.00E-05	0.0001
48	0.843964	0.001694	27.7111	0.836215	0.155317	1.00E-05	0.0001
49	0.852834	0.001702	27.6907	0.834387	0.157821	1.00E-05	0.0001
50	0.842186	0.001719	27.6483	0.840466	0.155850	1.00E-05	0.0001
51	0.838245	0.001889	27.2373	0.838767	0.155773	1.00E-05	0.0001
52	0.841718	0.001945	27.1117	0.843217	0.151964	1.00E-05	0.0001
53	0.824371	0.001674	27.7632	0.837617	0.155161	1.00E-05	0.0001
54	0.825356	0.001632	27.8738	0.843215	0.152215	1.00E-05	0.0001
55	0.815397	0.001570	28.0408	0.846822	0.152283	1.00E-05	0.0001
56	0.817271	0.001611	27.9290	0.846034	0.154535	1.00E-05	0.0001
57	0.822828	0.001654	27.8137	0.846803	0.150151	1.00E-05	0.0001
58	0.812314	0.001567	28.0493	0.840715	0.150940	1.00E-05	0.0001
59	0.802371	0.001613	27.9248	0.841328	0.153198	1.00E-05	0.0001
60	0.800590	0.001587	27.9950	0.846541	0.149724	1.00E-05	0.0001
61	0.796583	0.001965	27.0661	0.846363	0.151885	1.00E-05	0.0001
62	0.785736	0.001648	27.8299	0.845647	0.151937	1.00E-05	0.0001
63	0.791998	0.001504	28.2273	0.845829	0.148321	1.00E-05	0.0001
64	0.794030	0.001681	27.7443	0.852781	0.144044	1.00E-05	0.0001
65	0.786399	0.001516	28.1924	0.851271	0.147356	1.00E-05	0.0001
